merge_code,date,time block,"planting? 0 = N, 1 = Y",site_code,%corn,mortality,DBT_sample_id,DBT_dinotefuran,DBT_nitenpyram,DBT_thiamethoxam,DBT_clothianidin,DBT_imidacloprid,DBT_acetamiprid,DBT_thiacloprid,Pollen sample_id,FP_dinotefuran,FP_nitenpyram,FP_thiamethoxam,FP_clothianidin,FP_imidacloprid,FP_acetamiprid,FP_thiacloprid,,,,,,,,,,,,,,,,,,,
2015MO511,05/11/2015,5,0,MM,39,0.344309017,DBT_47,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,10.93,< 0.182,FP_47,< 0.040,< 0.434,1.44,3.349,1.212,1.64E-01,2.46E-01,,,,,,,,,,,,,,,,,,,
2015MO514,05/14/2015,6,0,MM,39,-0.360216953,DBT_57,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_57,< 0.029,< 0.061,2.81,2.395,6.713,< 0.047,1.751,,,,,,,,,,,,,,,,,,,
2015MO519,05/19/2015,7,0,MM,39,-0.276477881,DBT_67,< 0.122,< 0.206,8.57,< 5.024,< 0.064,< 0.556,< 0.182,FP_67,< 0.029,< 0.061,< 0.057,1.701,3.095,< 0.047,0.359,,,,,,,,,,,,,,,,,,,
2015MO523,05/23/2015,8,0,MM,39,-0.197097963,DBT_76,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_77,< 0.029,0.559,< 0.057,2.157,4.399,1.04,1.889,,,,,,,,,,,,,,,,,,,
2015MO527,05/27/2015,9,0,MM,39,-0.362855763,DBT_87,< 0.122,< 0.206,14.27,< 5.024,< 0.064,2.77,3.04,FP_87,< 0.029,< 0.061,< 0.057,< 0.938,3.865,0.11,1.189,,,,,,,,,,,,,,,,,,,
2015MO603,06/03/2015,10,0,MM,39,-0.597840661,DBT_97,< 0.122,< 0.206,< 2.347,973.63,< 0.064,27.34,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015SC429,04/29/2015,1,0,SC,8,-0.164015967,DBT_7,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_8,< 0.040,< 0.434,< 0.202,< 0.618,3.066,< 0.091,1.018,,,,,,,,,,,,,,,,,,,
2015SC502,05/02/2015,2,1,SC,8,0.350223637,DBT_18,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,0.67,FP_18,< 0.040,< 0.434,< 0.202,50.276,10.022,0.804,0.73,,,,,,,,,,,,,,,,,,,
2015SC505,05/05/2015,3,1,SC,8,0.578217852,DBT_28,< 0.122,< 0.206,24.83,< 5.024,< 0.064,< 0.556,1.62,FP_28,< 0.040,< 0.434,5.226,10.326,2.124,< 0.091,0.694,,,,,,,,,,,,,,,,,,,
2015SC508,05/08/2015,4,1,SC,8,0.745245916,DBT_38,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182,FP_38,< 0.040,< 0.434,2.191,4.089,2.107,< 0.091,0.613,,,,,,,,,,,,,,,,,,,
