merge_code,date,time.block,planting,site_code,per_corn,mortality,DBT_sample_id,DBT_dinotefuran,DBT_nitenpyram,DBT_thiamethoxam,DBT_clothianidin,DBT_imidacloprid,DBT_acetamiprid,DBT_thiacloprid,Pollen.sample_id,FP_dinotefuran,FP_nitenpyram,FP_thiamethoxam,FP_clothianidin,FP_imidacloprid,FP_acetamiprid,FP_thiacloprid,DBT_dinotefuran_detected,DBT_nitenpyram_detected,DBT_thiamethoxam_detected,DBT_clothianidin_detected,DBT_imidacloprid_detected,DBT_acetamiprid_detected,DBT_thiacloprid_detected,FP_dinotefuran_detected,FP_nitenpyram_detected,FP_thiamethoxam_detected,FP_clothianidin_detected,FP_imidacloprid_detected,FP_acetamiprid_detected,FP_thiacloprid_detected,DBT_any_detected,FP_any_detected,DBT_total_neonic,FP_total_neonic
2015MB527,5/27/2015,9,no,MC,19,-0.071381344,DBT_86,0.122,348.04,274.85,5.024,0.064,119.99,0.182,FP_86,0.029,0.424,1.324,7.6,5.375,0.047,0.891,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,748.272,15.69
2015MB603,6/3/2015,10,no,MC,19,-0.325275579,DBT_96,0.122,0.206,2.347,5.024,0.064,0.556,0.182,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.501,NA
2015MO429,4/29/2015,1,no,MM,39,-0.054384445,DBT_6,0.122,0.206,2.347,5.024,47.01,3.06,1.07,FP_7,0.04,0.434,1.254,3.897,0.148,0.687,0.605,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,58.839,7.065
2015MO502,5/2/2015,2,yes,MM,39,0.096839806,DBT_17,22.76,0.206,26.78,5.024,0.064,4.16,4.04,FP_17,0.04,0.434,2.716,8.959,1.177,0.253,0.183,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,63.034,13.762
2015MO505,5/5/2015,3,yes,MM,39,1.63920203,DBT_27,17.62,0.206,2.347,5.024,0.064,0.556,8.55,FP_27,0.04,0.434,1.872,23.514,4.326,0.26,0.137,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,34.367,30.583
2015MO508,5/8/2015,4,yes,MM,39,0.936613526,DBT_37,0.122,0.206,2.347,5.024,0.064,5.47,3.72,FP_37,0.04,0.434,3.226,9.407,5.729,0.164,0.469,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,16.953,19.469
2015MO511,5/11/2015,5,no,MM,39,0.344309017,DBT_47,0.122,0.206,2.347,5.024,0.064,10.93,0.182,FP_47,0.04,0.434,1.44,3.349,1.212,0.164,0.246,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,18.875,6.885
2015MO514,5/14/2015,6,no,MM,39,-0.360216953,DBT_57,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_57,0.029,0.061,2.81,2.395,6.713,0.047,1.751,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,8.501,13.806
2015MO519,5/19/2015,7,no,MM,39,-0.276477881,DBT_67,0.122,0.206,8.57,5.024,0.064,0.556,0.182,FP_67,0.029,0.061,0.057,1.701,3.095,0.047,0.359,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,14.724,5.349
2015MO523,5/23/2015,8,no,MM,39,-0.197097963,DBT_76,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_77,0.029,0.559,0.057,2.157,4.399,1.04,1.889,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,8.501,10.13
2015MO527,5/27/2015,9,no,MM,39,-0.362855763,DBT_87,0.122,0.206,14.27,5.024,0.064,2.77,3.04,FP_87,0.029,0.061,0.057,0.938,3.865,0.11,1.189,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,25.496,6.249
2015MO603,6/3/2015,10,no,MM,39,-0.597840661,DBT_97,0.122,0.206,2.347,973.63,0.064,27.34,2.48,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1006.189,NA
2015SC429,4/29/2015,1,no,SC,8,-0.164015967,DBT_7,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_8,0.04,0.434,0.202,0.618,3.066,0.091,1.018,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8.501,5.469
2015SC502,5/2/2015,2,yes,SC,8,0.350223637,DBT_18,0.122,0.206,2.347,5.024,0.064,0.556,0.67,FP_18,0.04,0.434,0.202,50.276,10.022,0.804,0.73,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,8.989,62.508
2015SC505,5/5/2015,3,yes,SC,8,0.578217852,DBT_28,0.122,0.206,24.83,5.024,0.064,0.556,1.62,FP_28,0.04,0.434,5.226,10.326,2.124,0.091,0.694,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,32.422,18.935
2015SC508,5/8/2015,4,yes,SC,8,0.745245916,DBT_38,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_38,0.04,0.434,2.191,4.089,2.107,0.091,0.613,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,8.501,9.565
2015SC511,5/11/2015,5,no,SC,8,0.022364757,DBT_48,0.122,0.206,2.347,5.024,0.064,6.51,0.182,FP_48,0.04,0.434,5.983,5.194,4.193,0.091,0.061,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,14.455,15.996
2015SC514,5/14/2015,6,no,SC,8,-0.100250059,DBT_58,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_58,0.029,0.061,0.057,0.938,1.243,0.047,0.168,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8.501,2.543
2015SC519,5/19/2015,7,no,SC,8,-0.400451811,DBT_68,9.98,14.23,2.347,5.024,0.064,0.556,1.25,FP_68,0.116,0.645,1.661,0.938,3.52,0.047,0.467,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,33.451,7.394
2015SC523,5/23/2015,8,no,SC,8,0.801754617,DBT_77,0.122,0.206,2.347,135.5,0.064,0.556,0.182,FP_78,7.888,0.784,13.305,4.115,25.38,6.141,6.393,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,138.977,64.006
2015SC527,5/27/2015,9,no,SC,8,-0.440213351,DBT_88,33.58,0.206,2.347,137.82,0.064,0.556,0.182,FP_88,1.13,0.061,0.057,0.938,6.915,0.047,1.674,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,174.755,10.822
2015SC603,6/3/2015,10,no,SC,8,-0.534180632,DBT_98,0.122,0.206,2.347,5.024,0.064,0.556,13.89,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22.209,NA
2015TV429,4/29/2015,1,no,TV,31,-0.128546355,DBT_8,0.122,0.206,2.347,5.024,0.064,0.556,3.43,FP_9,0.04,0.825,2.806,1.761,0.148,0.091,0.061,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,11.749,5.732
2015TV502,5/2/2015,2,yes,TV,31,-0.334364001,DBT_19,0.122,0.206,2.347,5.024,0.064,0.556,4.38,FP_19,0.04,0.434,1.672,15.342,2.083,0.314,0.341,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,12.699,20.226
2015TV505,5/5/2015,3,yes,TV,31,2.288752585,DBT_29,0.122,0.206,51.56,5.024,0.064,4.36,0.182,FP_29,0.04,1.057,16.692,37.944,0.879,0.186,0.137,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,61.518,56.935
2015TV508,5/8/2015,4,yes,TV,31,0.900722285,DBT_39,0.122,9.33,2.347,5.024,0.064,0.556,0.182,FP_39,0.062,0.434,2.744,7.554,1.094,0.12,0.219,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,17.625,12.227
2015TV511,5/11/2015,5,no,TV,31,0.11357385,DBT_49,0.122,0.206,2.347,40.62,0.064,0.556,0.182,FP_49,0.04,0.434,1.644,19.518,3.58,0.091,0.061,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,44.097,25.368
2015TV514,5/14/2015,6,no,TV,31,-0.111016623,DBT_59,0.122,0.206,2.347,1874.97,0.064,0.556,0.182,FP_59,0.029,0.061,0.615,0.938,0.761,0.047,0.317,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1878.447,2.768
2015TV519,5/19/2015,7,no,TV,31,-0.324717908,DBT_69,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_69,0.029,0.22,1.517,0.938,1.22,0.047,0.364,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,8.501,4.335
2015TV523,5/23/2015,8,no,TV,31,-0.297260477,DBT_78,0.122,0.206,2.347,5.024,0.064,0.556,4.78,FP_79,0.029,1.418,3.801,1.221,4.223,0.594,0.814,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,13.099,12.1
2015TV527,5/27/2015,9,no,TV,31,-0.502165556,DBT_89,0.122,0.206,2.347,5.024,0.064,4.35,0.182,FP_89,0.277,0.351,0.879,0.938,3.642,0.781,0.793,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,12.295,7.661
2015TV603,6/3/2015,10,no,TV,31,-0.480867366,DBT_99,0.122,0.206,2.347,5.024,0.064,0.556,0.182,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.501,NA
2015WB430,4/30/2015,1,no,WB,30,-0.440946117,DBT_10,0.122,0.206,2.347,5.024,0.064,0.556,0.182,FP_10,0.925,0.434,7.517,6.35,6.311,1.424,1.674,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,8.501,24.635
