yr_site,site_abv,% corn,daily mortality_plt,daily_mort_may,Hive_No,Interval ,seam_chg,bee_chg,cap_chg,open_chg,pollen_chg,nectar_chg
2015MO,MO,0.39,0.8908851207,0.1168090713,16,3,12,10897.24,-2026.12,273.8,1314.24,16920.84
2015SC,SC,0.08,0.5578958017,0.0858694959,17,3,1,-5092.68,-4490.32,-3395.12,2957.04,18563.64
2015HR,HR,0.3,0.959180946,0.0058534951,20,3,2,3230.84,2190.4,3668.92,273.8,-1423.76
2015FSR,FSR,0.49,1.676940638,0.1733944779,21,3,1,-438.08,-3121.32,-876.16,6406.92,11828.16
2015MB,MB,0.19,0.630509924,0.0933888412,23,3,1,-3011.8,-3668.92,-219.04,-657.12,6899.76
2015WB,WB,0.3,0.3289819997,0.0909123122,26,3,-5,-11006.76,-4052.24,-821.4,2135.64,5749.8
2015FSR,FSR,0.49,1.676940638,0.1733944779,27,3,-1,-7173.56,-1971.36,-711.88,3504.64,9363.96
2015WB,WB,0.3,0.3289819997,0.0909123122,28,3,-3,-1369,-1314.24,-2135.64,2902.28,-3997.48
2015DS,DS,0.01,0.9915874893,0.1618952447,31.01,3,3,4983.16,2190.4,1423.76,-438.08,-5914.08
2015DS,DS,0.01,0.9915874893,0.1618952447,31.02,3,3,6352.16,6735.48,1916.6,-2026.12,-11499.6
2015DS,DS,0.01,0.9915874893,0.1618952447,33,3,-2,-6845,1861.84,3340.36,-2190.4,-23875.36
2015MB,MB,0.19,0.630509924,0.0933888412,36,3,-2,-2738,-711.88,-1369,-766.64,-8159.24
2015MO,MO,0.39,0.8908851207,0.1168090713,37,3,-7,-13142.4,-7228.32,1752.32,2902.28,7118.8
2015MO,MO,0.39,0.8908851207,0.1168090713,39,3,9,8378.28,0,-1807.08,1095.2,17085.12
2015MO,MO,0.39,0.8908851207,0.1168090713,40,3,-8,-5311.72,-6187.88,-2518.96,985.68,9035.4
2015SC,SC,0.08,0.5578958017,0.0858694959,45,3,-8,4764.12,2026.12,-657.12,-2573.72,12923.36
2015SC,SC,0.08,0.5578958017,0.0858694959,48,3,-3,12868.6,-2354.68,-2738,3449.88,16592.28
2015SC,SC,0.08,0.5578958017,0.0858694959,49,3,-8,5202.2,2573.72,1314.24,-2847.52,-4161.76
2015HR,HR,0.3,0.959180946,0.0058534951,51,3,0,3176.08,-2354.68,-711.88,-383.32,1971.36
2015HR,HR,0.3,0.959180946,0.0058534951,53,3,12,13251.92,-602.36,-328.56,-1642.8,1642.8
2015HR,HR,0.3,0.959180946,0.0058534951,54,3,0,9473.48,-2573.72,-328.56,985.68,-6461.68
2015BG,BG,0.22,1.051359775,0.1199481078,59,3,14,13306.68,1204.72,2683.24,4326.04,16975.6
2015BG,BG,0.22,1.051359775,0.1199481078,60,3,3,5914.08,1149.96,383.32,54.76,219.04
2015TV,TV,0.31,0.951703623,0.1124110434,62,3,3,2738,-4380.8,109.52,2409.44,19166
2015TV,TV,0.31,0.951703623,0.1124110434,63,3,19,22123.04,7447.36,1588.04,3942.72,12923.36
2015IB,IB,0.22,0.567821225,0.0553418123,66,3,8,9528.24,-2518.96,383.32,383.32,9309.2
2015IB,IB,0.22,0.567821225,0.0553418123,67,3,10,17249.4,-1916.6,2628.48,3942.72,13251.92
